IP:PORT, LOSS, DELAY
162.159.192.84:939,0.00%,137 ms
162.159.192.13:955,0.00%,137 ms
162.159.195.183:8854,0.00%,139 ms
162.159.195.123:2506,0.00%,139 ms
162.159.192.97:1018,0.00%,139 ms
162.159.195.234:946,0.00%,139 ms
162.159.192.217:942,0.00%,140 ms
162.159.192.105:2506,0.00%,140 ms
162.159.192.80:1843,0.00%,140 ms
162.159.192.193:5279,0.00%,140 ms
162.159.192.150:1387,0.00%,140 ms
162.159.195.232:1180,0.00%,140 ms
162.159.195.133:1010,0.00%,140 ms
162.159.192.189:7156,0.00%,140 ms
162.159.192.194:946,0.00%,141 ms
162.159.192.189:1010,0.00%,141 ms
162.159.195.189:8854,0.00%,141 ms
162.159.195.164:988,0.00%,141 ms
162.159.192.158:3138,0.00%,141 ms
162.159.192.248:988,0.00%,141 ms
162.159.192.212:942,0.00%,141 ms
162.159.195.91:7156,0.00%,141 ms
162.159.195.25:3581,0.00%,141 ms
162.159.192.242:988,0.00%,141 ms
162.159.192.115:2506,0.00%,141 ms
162.159.192.97:939,0.00%,141 ms
162.159.195.14:7156,0.00%,142 ms
162.159.195.92:968,0.00%,142 ms
162.159.195.105:2506,0.00%,142 ms
162.159.195.20:4233,0.00%,142 ms
162.159.192.227:942,0.00%,142 ms
162.159.192.140:968,0.00%,142 ms
162.159.195.31:4233,0.00%,142 ms
162.159.192.132:8742,0.00%,142 ms
162.159.192.150:3138,0.00%,142 ms
162.159.192.77:2506,0.00%,142 ms
162.159.192.203:5279,0.00%,142 ms
162.159.195.119:946,0.00%,142 ms
162.159.195.168:928,0.00%,142 ms
162.159.192.226:942,0.00%,142 ms
162.159.195.103:7156,0.00%,142 ms
162.159.195.184:8854,0.00%,142 ms
162.159.192.81:939,0.00%,142 ms
162.159.192.92:1018,0.00%,142 ms
162.159.192.248:5279,0.00%,142 ms
162.159.192.202:5279,0.00%,142 ms
162.159.195.250:908,0.00%,142 ms
162.159.195.190:928,0.00%,142 ms
162.159.192.250:988,0.00%,143 ms
162.159.192.116:2506,0.00%,143 ms
162.159.195.46:908,0.00%,143 ms
162.159.195.169:928,0.00%,143 ms
162.159.195.200:2506,0.00%,143 ms
162.159.192.92:939,0.00%,143 ms
162.159.195.234:1180,0.00%,143 ms
162.159.192.231:942,0.00%,143 ms
162.159.195.60:4500,0.00%,143 ms
162.159.192.202:946,0.00%,143 ms
162.159.195.87:968,0.00%,143 ms
162.159.192.201:5279,0.00%,143 ms
162.159.195.178:928,0.00%,143 ms
162.159.195.254:908,0.00%,143 ms
162.159.195.164:928,0.00%,143 ms
162.159.195.223:946,0.00%,143 ms
162.159.192.11:8319,0.00%,143 ms
162.159.192.68:1843,0.00%,143 ms
162.159.195.219:946,0.00%,143 ms
162.159.195.44:908,0.00%,143 ms
162.159.195.32:3581,0.00%,143 ms
162.159.192.112:2506,0.00%,143 ms
162.159.195.159:988,0.00%,143 ms
162.159.195.184:928,0.00%,143 ms
162.159.192.227:1014,0.00%,143 ms
162.159.192.71:1843,0.00%,143 ms
162.159.192.60:1843,0.00%,143 ms
162.159.192.194:5279,0.00%,143 ms
162.159.195.158:928,0.00%,143 ms
162.159.192.115:1074,0.00%,143 ms
162.159.195.43:3138,0.00%,143 ms
162.159.195.52:908,0.00%,144 ms
162.159.195.88:968,0.00%,144 ms
162.159.192.51:1843,0.00%,144 ms
162.159.195.235:1180,0.00%,144 ms
162.159.192.68:2506,0.00%,144 ms
162.159.195.206:4177,0.00%,144 ms
162.159.192.65:2506,0.00%,144 ms
162.159.192.205:946,0.00%,144 ms
162.159.192.192:946,0.00%,144 ms
162.159.195.32:4233,0.00%,144 ms
162.159.195.186:8854,0.00%,144 ms
162.159.195.239:946,0.00%,144 ms
162.159.195.9:8886,0.00%,144 ms
162.159.192.53:1843,0.00%,144 ms
162.159.192.8:8319,0.00%,144 ms
162.159.192.82:1018,0.00%,144 ms
162.159.195.181:928,0.00%,144 ms
162.159.195.48:3138,0.00%,144 ms
162.159.192.11:955,0.00%,145 ms
162.159.195.247:1180,0.00%,145 ms
162.159.192.173:7156,0.00%,145 ms
162.159.195.183:928,0.00%,145 ms
162.159.195.151:928,0.00%,145 ms
162.159.195.87:7156,0.00%,145 ms
162.159.192.131:8742,0.00%,145 ms
162.159.192.67:1843,0.00%,145 ms
162.159.195.24:3581,0.00%,145 ms
162.159.195.235:946,0.00%,145 ms
162.159.192.40:8319,0.00%,145 ms
162.159.195.51:908,0.00%,145 ms
162.159.192.81:1018,0.00%,145 ms
162.159.192.213:1014,0.00%,145 ms
162.159.195.43:908,0.00%,145 ms
162.159.195.137:8854,0.00%,145 ms
162.159.195.40:3138,0.00%,145 ms
162.159.192.67:2506,0.00%,145 ms
162.159.192.29:8319,0.00%,145 ms
162.159.192.72:2506,0.00%,145 ms
162.159.195.191:8854,0.00%,145 ms
162.159.195.225:1180,0.00%,145 ms
162.159.192.167:3138,0.00%,145 ms
162.159.195.31:3581,0.00%,145 ms
162.159.195.62:4500,0.00%,146 ms
162.159.192.41:8319,0.00%,146 ms
162.159.192.94:1018,0.00%,146 ms
162.159.195.44:3138,0.00%,146 ms
162.159.195.145:1010,0.00%,146 ms
162.159.192.108:2506,0.00%,146 ms
